"","site.name","lat","long","51.80","86.15","Abies","Acer","Alnus rubra","Alnus rugosa","AlnusXC","Aquifoliaceae","Arceuthobium","Artemisia","Asteraceae","Betula","Brassicaceae","Cactaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Chenopodiaceae/Amaranthaceae","Chrysolepis/Lithocarpus","Corylus","Cupressaceae","Cyperaceae","Dryas","Ephedra","Ericaceae","Fagus","Fraxinus nigra","Fraxinus pennsylvanica/americana","Iva","Juglans","Larix/Pseudotsuga","Larrea","Liquidambar","Minor Forbs","Myricaceae","Nyssa","Ostrya/Carpinus","Oxyria","Papaveraceae","Picea","Pinus diploxylon","Pinus haploxylon","Pinus undifferentiated","Plantaginaceae","Platanus","Poaceae","Poaeceae","Populus","Prosopis","Pteridium","Quercus","Rosaceae","Salix","Sarcobatus","Saxifraga","Sphagnum","Taxodium","Tilia","Total Fraxinus (sum of nigra/penn/undiff)","Total Lycopodium","Tsuga heterophylla","Tsuga mertensiana","Tsuga undifferentiated","Ulmus"
"1","15/1",55.091667,-75.25,-5.21750008176185,-4.57444451685167,0,0,0,1.04011887072808,16.9390787518574,0,0,1.33729569093611,0,6.38930163447251,0,0,0,0,0,0,0,0.148588410104012,0,0,0.148588410104012,0.742942050520059,0,0,0.594353640416048,0,0,0,0,0,0.148588410104012,0,0,0,0.148588410104012,0,0.148588410104012,0,0,59.1381872213967,0.148588410104012,0,2.22882615156018,0,0,0.742942050520059,0,0,0,0,0.148588410104012,0.148588410104012,0,0,0,9.06389301634472,0,0,0,0.297176820208024,0,0,0,0.297176820208024
"2","15/2",55.833333,-75.016667,-5.39527783958863,-4.7411111879059,0,0.158353127474268,0,1.26682501979414,7.44259699129058,0,0,0.63341250989707,0,7.12589073634204,0,0,0,0,0,0,0,0.316706254948535,0,0,0.158353127474268,1.42517814726841,0,0,0.63341250989707,0,0,0,0,0,0.475059382422803,0,0,0,0,0,0,0,0,68.4877276326207,0.316706254948535,0,0.791765637371338,0,0,0.791765637371338,0,0.158353127474268,0,0,0.475059382422803,0,0,0,0,8.55106888361045,0,0,0,0.63341250989707,0,0,0,0.158353127474268
"3","16/1",55.413333,-75.066667,-5.21750008176185,-4.57444451685167,0,0,0,0.481927710843374,7.06827309236948,0,0,1.76706827309237,0,8.67469879518072,0,0,0,0,0,0,0,0.321285140562249,0,0,0,0.160642570281124,0,0,0.642570281124498,0,0,0,0,0,0.642570281124498,0,0,0,0.160642570281124,0,0,0,0,67.710843373494,0.321285140562249,0,0.963855421686747,0,0,0.642570281124498,0,0,0,0,0,0,0.642570281124498,0,0,9.47791164658635,0,0,0,0.321285140562249,0,0,0,0
"4","17/1",55.066667,-75.7,-5.12055559414957,-4.4738889740987,0,0,0,0,12.9310344827586,0,0,0.517241379310345,0,9.31034482758621,0,0,0,0,0,0,0,0.172413793103448,0,0,0.344827586206897,1.55172413793103,0,0,1.03448275862069,0,0,0,0,0,0.689655172413793,0,0,0,0.172413793103448,0,0,0,0,63.2758620689655,0.517241379310345,0.517241379310345,1.03448275862069,0,0,0.344827586206897,0,0,0,0,0,0,0.172413793103448,0,0,7.24137931034483,0,0,0,0.172413793103448,0,0,0,0
"5","17/2",55.25,-74.933333,-5.4041667457877,-4.76583341026886,0,0,0,0.972222222222222,25.5555555555556,0,0,0.694444444444444,0,17.2222222222222,0,0,0,0,0,0,0,0.138888888888889,0,0,0.138888888888889,0.138888888888889,0,0,0.694444444444444,0,0,0,0,0,0.416666666666667,0,0,0,0.416666666666667,0,0,0,0,47.2222222222222,1.11111111111111,0,0.694444444444444,0,0,0.138888888888889,0,0,0,0,0,0.138888888888889,0.277777777777778,0,0,3.61111111111111,0,0,0,0.277777777777778,0,0,0,0.138888888888889
"6","17/3",55.116667,-75.95,-5.12055559414957,-4.4738889740987,0.164473684210526,0,0,0,12.1710526315789,0,0,1.15131578947368,0,12.5,0,0,0,0,0,0,0,0.328947368421053,0,0,0.493421052631579,0.986842105263158,0,0,0.657894736842105,0,0,0,0,0,0.164473684210526,0,0,0,0.164473684210526,0,0.164473684210526,0,0,63.1578947368421,0.164473684210526,0,0.986842105263158,0,0,1.15131578947368,0,0,0,0,0.328947368421053,0,0.164473684210526,0,0,5.09868421052632,0,0,0,0,0,0,0,0
"7","South Soefje Bog",29.6,-97.516944,20.2116669853528,20.6808336562581,0,0,0,0,1.14942528735632,0,0,0,3.44827586206897,0,0,0,8.04597701149425,0,0,0,0,1.14942528735632,0,0,0,1.14942528735632,0,0,4.59770114942529,0,0,0,0,0.574712643678161,0,0,0,2.29885057471264,4.59770114942529,0,0,0,0,0,0,0,4.59770114942529,0,0,51.7241379310345,0,0,0,0,13.7931034482759,0,0.574712643678161,0,0,0,0,0,0,0,0,0,0,2.29885057471264
"8","Linton",43.15,-91.28,7.98555570360688,8.72444459938755,0,1.84331797235023,0,0,0,0,0,0,0.460829493087558,0.460829493087558,0,0,11.5207373271889,0,0,0.460829493087558,0,4.60829493087558,0,0,0,0,0,0,0,0,0,0,0,8.29493087557604,0,0,0,0,0,0,1.84331797235023,0,0,0,0,0,9.21658986175115,0,0,40.0921658986175,0,0,0,0,20.2764976958525,0,0,0,0,0,0,0.460829493087558,0,0,0,0,0,0.460829493087558
"9","Cox Creek",42.8,-91.38,8.23555569750154,8.96888906545938,0,1.26582278481013,0,0,0,0,0,0,1.68776371308017,2.10970464135021,0,0,2.10970464135021,0,0,0,0,5.48523206751055,0,0,0,0,0,0.421940928270042,0,0,0,0,0,1.26582278481013,0,0,0,0,0,0,1.26582278481013,0,0,0,0,0,7.59493670886076,0,0,45.9915611814346,0,0,0,0,20.253164556962,0.843881856540084,4.21940928270042,0,0,0,0,0,0.421940928270042,0,0,0,0,5.06329113924051
"10","Elk",42.55,-91.28,8.23555569750154,8.96888906545938,0,3.60824742268041,0,0,0,0,0,0,1.54639175257732,0.515463917525773,0,0,2.06185567010309,0,0,0,0,4.63917525773196,0,0,0,0,0,0,0,0,0,0,0,2.06185567010309,0,0,0,0,0,0,0,0,0,0,0,0,4.63917525773196,0,0,53.0927835051546,0,0,0,0,24.2268041237113,0,0,0,0,0,0,1.54639175257732,0.515463917525773,0,0,0,0,1.54639175257732
"11","Concord",42.58,-90.95,8.05027791185098,8.74166680433684,0,1.25523012552301,0,0,0,0,0,0,1.25523012552301,0,0,0,1.25523012552301,0,0,0,0,2.09205020920502,0,0,0,0,0,0,0,0,0,0,0,2.92887029288703,0,0,0,0,0,0,2.09205020920502,0,0,0,0,0,2.92887029288703,0,0,58.5774058577406,0,0,0,0,21.7573221757322,0,0,0,0,0,0,0.418410041841004,0,0,0,0,0,5.43933054393306
"12","Wardsg28",42.3,-89.93,8.24083344661114,8.86388902962208,0,0.354609929078014,0,0,0,0,0,0,0.354609929078014,1.77304964539007,0,0,10.9929078014184,0,0,0,0,1.06382978723404,0,0,0,0,0,0,0,0,0,0,0,6.38297872340426,0,0,0,0,0,0,0.709219858156028,0,0,0,0,0,2.83687943262411,0,0,53.9007092198582,0,0,0,0,21.2765957446809,0,0,0,0,0,0,0,0,0,0,0,0,0.354609929078014
"13","Woodbn25",42.3,-90.12,8.65500014840315,9.2591668440443,0,2.5089605734767,0,0,0,0,0,0,1.7921146953405,1.7921146953405,0,0,2.5089605734767,0,0,0,0,2.5089605734767,0,0,0,0,0,0,0,0,0,0,0,1.7921146953405,0,0,0,0,0,0,1.7921146953405,0,0,0,0,0,2.5089605734767,0.716845878136201,0,55.9139784946236,0,0,0,0,22.2222222222222,0,0,0,0,0,0,0,1.4336917562724,0,0,0,0,2.5089605734767
"14","Hanover",42.27,-90.28,8.65500014840315,9.2591668440443,0.917431192660551,2.75229357798165,0,0,0,0,0,0,8.25688073394496,0,0,0,1.37614678899083,0,0,0,0,5.04587155963303,0,0.917431192660551,2.29357798165138,0,0,0,0,0,0,0,0,0.917431192660551,0,0,0,0,0,0,0,0,0,0.917431192660551,0,0,17.4311926605505,0,0,40.3669724770642,0,0,0,0,16.9724770642202,0,0.917431192660551,0,0,0,0,0,0,0,0,0,0,0.917431192660551
"15","Derinda",42.27,-90.08,8.65500014840315,9.2591668440443,0,0.865800865800866,0,0,0,0,0,0,1.73160173160173,0,0,0,6.06060606060606,0,0,0,0,1.73160173160173,0,0,0,0,0,0,0,0,0,0,0,1.73160173160173,0,0,0,0,0,0,1.2987012987013,0,0,0.432900432900433,0,0,1.2987012987013,0,0,45.4545454545455,0,0.865800865800866,0,0,35.9307359307359,0,0.432900432900433,0,0,0,0,0.432900432900433,0,0,0,0,0,1.73160173160173
"16","Woodbn24",42.32,-90.1,8.65500014840315,9.2591668440443,0,4.09090909090909,0,0,0.454545454545455,0,0,0.909090909090909,0.454545454545455,2.72727272727273,0,0,3.63636363636364,0,0,0,0,2.27272727272727,0,0,0,0,0,0,0,0,0,0,0,2.72727272727273,0,0,0,0,0,0,0.454545454545455,0,0,0.454545454545455,0,0,6.81818181818182,0,0,27.2727272727273,0,0,0,0,42.7272727272727,0,0.909090909090909,0,0,0,0,0,0,0,0,0,0,4.09090909090909
"17","Wardsg17",42.32,-89.93,8.24083344661114,8.86388902962208,0,1.8018018018018,0,0,0,0,0,0,3.15315315315315,0.900900900900901,0,0,3.15315315315315,0,0,0,0,1.8018018018018,0,0,0.900900900900901,0,0,0,0,0,0,0,0,2.7027027027027,0,0,0,0,0,0,0.45045045045045,0,0,0.45045045045045,0,0,2.7027027027027,0,0,9.45945945945946,0,0,0,0,69.3693693693694,0,1.35135135135135,0,0,0,0,0,0,0,0,0,0,1.8018018018018
"18","Woodbn07",42.33,-90.12,8.65500014840315,9.2591668440443,0,2.18579234972678,0,0,0,0,0,0,1.09289617486339,0.546448087431694,0,0,5.46448087431694,0,0,0.546448087431694,0,4.37158469945355,0,0,0,0,0,0,0,0,0,0,0,3.27868852459016,0,0,0,0,0,0,1.09289617486339,0,0,0,0,0,2.73224043715847,0,0,13.1147540983607,0,0,0,0,63.3879781420765,0,0,0,0,0,0,0,0.546448087431694,0,0,0,0,1.63934426229508
"19","Blanch Road",42.77,-89.87,7.49166684548061,8.15805570131375,0,0,0,0,0,0,0,0,1.33928571428571,0.446428571428571,0,0,2.23214285714286,0,0,0,0,4.46428571428571,0,0,0,0,0,0,0,0,0,0,0,11.6071428571429,0,0,0,0,0,0,0.892857142857143,0,0,0,0,0,2.23214285714286,0,0,38.8392857142857,0,0,0,0,35.7142857142857,0,0.446428571428571,0,0,0,0,0,0,0,0,0,0,1.78571428571429
"20","Coon",43.65,-90.92,6.7869445702682,7.67444460758319,0,0,0,0,0,0,0,0,3.26086956521739,0,0,0,6.52173913043478,0,0,0,0,3.26086956521739,0,0,0,0,0,0,0,0,0,0,0,2.17391304347826,0,0,0,0,0,0,0,0,0,0,0,0,4.34782608695652,1.6304347826087,0,41.8478260869565,0,0,0,0,26.6304347826087,0.543478260869565,0.543478260869565,0,0,0,0,0,1.08695652173913,0,0,0,0,8.15217391304348
"21","Liberty",43.52,-90.78,6.7869445702682,7.67444460758319,0,1.22448979591837,0,0,0,0,0,0,2.44897959183673,1.22448979591837,0,0,5.71428571428571,0,0,0,0,4.89795918367347,0,0.408163265306122,0,0,0,0,0,0,0,0,0,1.22448979591837,0,0,0,0,0,0,0.408163265306122,0,0,0.408163265306122,0,0,1.63265306122449,0,0,59.1836734693878,0,0,0,0,19.1836734693878,0,0,0,0,0,0,0.408163265306122,0,0,0,0,0,1.63265306122449
"22","Clinton",43.68,-90.73,6.7869445702682,7.67444460758319,0,2.26244343891403,0,0,0,0,0,0,2.26244343891403,4.07239819004525,0,0,4.97737556561086,0,0,0,0,3.16742081447964,0,0.452488687782805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07239819004525,0,0,0.904977375565611,0,0,3.61990950226244,0,0,28.5067873303167,0,0,0,0,35.7466063348416,0.452488687782805,0,0,0,0,0,1.80995475113122,0.452488687782805,0,0,0,0,7.23981900452489
"23","Green WD",43.58,-90.38,6.67083348391785,7.57888902839688,0,2.74914089347079,0,0,0,0,0,0,2.40549828178694,2.74914089347079,0,0,9.27835051546392,0,0,0,0,1.03092783505155,0,0,0,0,0,0,0,0,0,0,0,1.03092783505155,0,0,0,0,0,0,2.74914089347079,0,0,0,0,0,4.81099656357388,0,0,24.0549828178694,0,0,0,0,38.8316151202749,0,1.03092783505155,0,0,0,0,0,0.687285223367698,0,0,0,0,8.59106529209622
"24","English River",43.4,-90.5,7.23027791527825,7.99500013215261,0,0,0,0,0,0,0,0,1.18110236220472,0,0,0,15.748031496063,0,0,0,0,2.36220472440945,0,0,0,0,0,0.393700787401575,0,0,0,0,0,0.78740157480315,0,0,0,0,0,0,0,0,0,0,0,0,6.2992125984252,0,0,27.1653543307087,0,0,0,0,33.4645669291339,0,0.393700787401575,0,0,0,0,0,1.18110236220472,0,0,0,0,11.0236220472441
"25","Dickey Valley",42.62,-90.58,8.05027791185098,8.74166680433684,0,0,0,0,0,0,0,0,5.88235294117647,0.392156862745098,0,0,1.96078431372549,0,0,0,0,0.392156862745098,0,0,0,0,0,0,0,0,0,0,0,4.70588235294118,0,0,0,0,0,0,1.17647058823529,0,0,0,0,0,1.56862745098039,0,0,29.4117647058824,0,0,0,0,49.4117647058824,0,0,0,0,0,0,0.392156862745098,0.392156862745098,0,0,0,0,4.31372549019608
"26","Tennyson",42.65,-90.67,8.05027791185098,8.74166680433684,0,0,0,0,0,0,0,2.63157894736842,1.57894736842105,0,0,0,5.26315789473684,0,0,0,0,4.21052631578947,0,0.526315789473684,3.68421052631579,0,0,0,0,0,0,0,0,3.68421052631579,0,0,0,0,0,0,0.526315789473684,0,0,0,0,0,16.8421052631579,5.26315789473684,0,36.3157894736842,0,2.10526315789474,0,0,15.2631578947368,0,0,0,0,0,0,0.526315789473684,0,0,0,0,0,1.57894736842105
"27","Platte Valley",42.72,-90.47,7.69638900678191,8.35416680903485,0,0.68259385665529,0,0,0,0,0,0,3.07167235494881,1.02389078498294,0,0,3.41296928327645,0,0,0,0,3.41296928327645,0,0,0,0,0,0,0,0,0,0,0,1.70648464163823,0,0,0,0,0,0,1.02389078498294,0,0,0,0,0,8.19112627986348,1.02389078498294,0,62.7986348122867,0,0,0,0,13.6518771331058,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Hokah",43.75,-91.47,7.49194458598892,8.28833348001871,0,1.06007067137809,0,0,0,0,0,0,2.12014134275618,1.41342756183746,0,0,2.82685512367491,0,0,0,0,2.82685512367491,0,0.353356890459364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353356890459364,0,0,0.353356890459364,0,0,7.42049469964664,0,0,68.904593639576,0,0,0,0,10.9540636042403,0,0.353356890459364,0,0,0,0,0,0,0,0,0,0,1.06007067137809
"29","Sheldon",43.67,-91.05,7.49194458598892,8.28833348001871,0,1.66051660516605,0,0,0,0,0,0,0,0.3690036900369,0,0,1.66051660516605,0,0,0,0,1.8450184501845,0,0,0,0,0,0,0,0,0,0,0,1.29151291512915,0,0,0,0,0,0,0.55350553505535,0,0,0,0,0,4.4280442804428,1.8450184501845,0,73.4317343173432,0,0,0,0,10.5166051660517,0.3690036900369,0,0,0,0,0,1.1070110701107,0.18450184501845,0,0,0,0,0.738007380073801
"30","Hollndal",42.88,-89.88,7.49166684548061,8.15805570131375,0,0.555555555555556,0,0,0,0,0,0,4.44444444444444,2.22222222222222,0,0,3.88888888888889,0,0,0,0,7.77777777777778,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667,0,0,0,0,0,0,1.66666666666667,0,0,0,0,0,7.77777777777778,0,0,21.6666666666667,0,0,0,0,38.8888888888889,0,0,0,0,0,0,0,0,0,0,0,0,9.44444444444444
"31","Harrison",42.7,-90.55,8.05027791185098,8.74166680433684,0,0.540540540540541,0,0,0,0,0,0,1.62162162162162,0.540540540540541,0,0,2.7027027027027,0,0,0,0,1.62162162162162,0,0,0,0,0,0,0,0,0,0,0,5.40540540540541,0,0,0,0,0,0,0.540540540540541,0,0,0,0,0,3.24324324324324,0,0,48.6486486486487,0,1.08108108108108,0,0,25.9459459459459,0,0.540540540540541,0,0,0,0,1.62162162162162,0.540540540540541,0,0,0,0,5.40540540540541
"32","Arena8",43.1,-89.92,7.01250016594099,7.72444455191079,0,0.5,0,0,0.5,0,0,0,1.5,3,0,0,6,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0.5,0,0,2.5,0,0,17,0,0,0,0,55,0,0,0,0,0,0,0,1,0,0,0,0,5.5
"33","Arena16",43.08,-89.92,7.01250016594099,7.72444455191079,0,1.99004975124378,0,0,0.497512437810945,0,0,0,10.4477611940298,0,0,0,2.48756218905473,0,0,0,0,1.99004975124378,0,0,0,0,0,0,0,0,0,0,0,0.497512437810945,0,0,0,0,0,0,0,0,0,0,0,0,2.48756218905473,0,0,47.7611940298507,0,0,0,0,28.3582089552239,0,0,0,0,0,0,0.497512437810945,0,0,0,0,0,2.98507462686567
"34","Mazomani",43.17,-89.78,7.01250016594099,7.72444455191079,0,0.4739336492891,0,0,0,0,0,0,1.8957345971564,3.3175355450237,0,0,4.739336492891,0,0,0,0,3.3175355450237,0,0.4739336492891,0,0,0,0,0,0,0,0,0,2.8436018957346,0,0,0,0,0,0,0.947867298578199,0,0,0,0,0,15.1658767772512,0.947867298578199,0,25.1184834123223,0,0,0,0,36.0189573459716,0,0.947867298578199,0,0,0,0,0,0.4739336492891,0,0,0,0,3.3175355450237
"35","Vermnt29",43.03,-89.8,7.01250016594099,7.72444455191079,0,2.16216216216216,0,0,0,0,0,0,0,0,0,0,0.540540540540541,0,0,0,0,10.2702702702703,0,0,0.540540540540541,0,0,0,0,0,0,0,0,2.16216216216216,0,0,0,0,0,0,0.540540540540541,0,0,0,0,0,2.7027027027027,6.48648648648649,0,48.1081081081081,0,0,0,0,23.2432432432432,1.08108108108108,0,0,0,0,0,0,0,0,0,0,0,2.16216216216216
"36","Vermnt18",43.08,-89.83,7.01250016594099,7.72444455191079,0,1.0752688172043,0,0,0,0,0,0,8.06451612903226,0.537634408602151,0,0,3.2258064516129,0,0,0,0,5.37634408602151,0,1.0752688172043,0,0,0,0,0,0,0,0,0,6.45161290322581,0,0,0,0,0,0,0,0,0,0,0,0,3.76344086021505,1.0752688172043,0,15.5913978494624,0,0,0,0,51.0752688172043,0,2.1505376344086,0,0,0,0,0,0.537634408602151,0,0,0,0,0
"37","Brighm35",43.03,-89.87,7.01250016594099,7.72444455191079,0,0.520833333333333,0,0,0,0,0,0,2.60416666666667,8.33333333333333,0,0,2.08333333333333,0,0,0,0,0.520833333333333,0,1.04166666666667,1.04166666666667,0,0,0,0,0,0,0,0,8.85416666666667,0,0,0,0,0,0,1.04166666666667,0,0,0,0,0,2.60416666666667,0,0,10.4166666666667,0,0,0,0,53.6458333333333,0,2.60416666666667,0,0,0,0,0,0,0,0,0,0,4.6875
"38","Arena15",43.08,-89.88,7.01250016594099,7.72444455191079,0,0.641025641025641,0,0,1.28205128205128,0,0,0,1.92307692307692,1.92307692307692,0,0,3.2051282051282,0,0,0,0,1.92307692307692,0,0,0.641025641025641,0,0,0,0,0,0,0,0,5.12820512820513,0,0,0,0,0,0,1.28205128205128,0,0,0,0,0,5.12820512820513,0,0,10.8974358974359,0,0,0,0,52.5641025641026,0,0,0,0,0,0,0,2.56410256410256,0,0,0,0,10.8974358974359
"39","Brighm25",43.05,-89.87,7.01250016594099,7.72444455191079,0,1.54639175257732,0,0,0,0,0,0,2.06185567010309,3.09278350515464,0,0,7.21649484536082,0,0,0,0,1.54639175257732,0,0,0.515463917525773,0,0,0,0,0,0,0,0,4.63917525773196,0,0,0,0,0,0,2.06185567010309,0,0,0,0,0,7.21649484536082,0,0,18.0412371134021,0,0,0,0,47.9381443298969,0,0.515463917525773,0,0,0,0,0,0.515463917525773,0,0,0,0,3.09278350515464
