datasetid,sitename,lon,lat,,,,,,,,,,,
1,15/1,-75.25,55.09167,,,,,,,,,,,
2,15/2,-75.01667,55.83333,,,,,,,,,,,
3,16/1,-75.06667,55.41333,,,,,,,,,,,
4,17/1,-75.7,55.06667,,,,,,,,,,,
5,17/2,-74.93333,55.25,,,,,,,,,,,
6,17/3,-75.95,55.11667,,,,,,,,,,,
18,South Soefje Bog,-97.51694,29.6,,,,,,,,,,,
34,Linton,-91.28,43.15,,,,,,,,,,,
35,Cox Creek,-91.38,42.8,,,,,,,,,,,
36,Elk,-91.28,42.55,,,,,,,,,,,
37,Concord,-90.95,42.58,,,,,,,,,,,
38,Wardsg28,-89.93,42.3,,,,,,,,,,,
39,Woodbn25,-90.12,42.3,,,,,,,,,,,
40,Hanover,-90.28,42.27,,,,,,,,,,,
41,Derinda,-90.08,42.27,,,,,,,,,,,
42,Woodbn24,-90.1,42.32,,,,,,,,,,,
43,Wardsg17,-89.93,42.32,,,,,,,,,,,
44,Woodbn07,-90.12,42.33,,,,,,,,,,,
45,Blanch Road,-89.87,42.77,,,,,,,,,,,
46,Coon,-90.92,43.65,,,,,,,,,,,
47,Liberty,-90.78,43.52,,,,,,,,,,,
48,Clinton,-90.73,43.68,,,,,,,,,,,
49,Green WD,-90.38,43.58,,,,,,,,,,,
50,English River,-90.5,43.4,,,,,,,,,,,
51,Dickey Valley,-90.58,42.62,,,,,,,,,,,
52,Tennyson,-90.67,42.65,,,,,,,,,,,
53,Platte Valley,-90.47,42.72,,,,,,,,,,,
54,Hokah,-91.47,43.75,,,,,,,,,,,
55,Sheldon,-91.05,43.67,,,,,,,,,,,
56,Hollndal,-89.88,42.88,,,,,,,,,,,
57,Harrison,-90.55,42.7,,,,,,,,,,,
58,Arena8,-89.92,43.1,,,,,,,,,,,
59,Arena16,-89.92,43.08,,,,,,,,,,,
60,Mazomani,-89.78,43.17,,,,,,,,,,,
61,Vermnt29,-89.8,43.03,,,,,,,,,,,
62,Vermnt18,-89.83,43.08,,,,,,,,,,,
63,Brighm35,-89.87,43.03,,,,,,,,,,,
64,Arena15,-89.88,43.08,,,,,,,,,,,
65,Brighm25,-89.87,43.05,,,,,,,,,,,
66,Brighm24,-89.85,43.07,,,,,,,,,,,
67,Hillsbor,-90.38,43.72,,,,,,,,,,,
195,Hungry Jack Lake,-91.12,48.15,,,,,,,,,,,
3059,Hell's Kitchen Lake,-89.70269,46.18693,,,,,,,,,,,
3075,Greens Lake,-73.88,42.28,,,,,,,,,,,
3607,Belmont Bog,-77.91667,42.25,,,,,,,,,,,
262,BI01,-76.39,57.11333,,,,,,,,,,,
263,Lake BI2,-76.37833,57.11667,,,,,,,,,,,
264,BI03,-76.405,57.12333,,,,,,,,,,,
265,BI04,-76.415,57.12333,,,,,,,,,,,
266,BI05,-76.40833,57.125,,,,,,,,,,,
3141,Big Lake (US:Arkansas),-90.10833,35.90833,,,,,,,,,,,
288,Lake BN1,-73.51667,55,,,,,,,,,,,
289,Lake BN3,-73.56167,55,,,,,,,,,,,
290,Lake BN6,-73.54167,55.00167,,,,,,,,,,,
291,Lake BN2B,-73.55,55,,,,,,,,,,,
292,Lake BN4B,-73.55833,55.00167,,,,,,,,,,,
293,Lake BN5B,-73.545,55.00333,,,,,,,,,,,
3145,Bog A Pond,-95.16745,47.17548,,,,,,,,,,,
3547,Tourbière Caribou,-71.23583,47.63972,,,,,,,,,,,
40515,Cascade Fen [Engineer Moutain Bog],-107.80867,37.64764,,,,,,,,,,,
360,Chara Lake,-127.75,65.51667,,,,,,,,,,,
368,Chicken Lake,-108.22139,37.46944,,,,,,,,,,,
383,Site 1 (Heusser 1978),-124.07,44.3,,,,,,,,,,,
