"","site.name","lat","long","51.80","86.15","Abies","Acer","Alnus rubra","Alnus rugosa","AlnusXC","Aquifoliaceae","Arceuthobium","Artemisia","Asteraceae","Betula","Brassicaceae","Cactaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Chenopodiaceae/Amaranthaceae","Chrysolepis/Lithocarpus","Corylus","Cupressaceae","Cyperaceae","Dryas","Ephedra","Ericaceae","Fagus","Fraxinus nigra","Fraxinus pennsylvanica/americana","Iva","Juglans","Larix/Pseudotsuga","Larrea","Liquidambar","Minor Forbs","Myricaceae","Nyssa","Ostrya/Carpinus","Oxyria","Papaveraceae","Picea","Pinus diploxylon","Pinus haploxylon","Pinus undifferentiated","Plantaginaceae","Platanus","Poaceae","Poaeceae","Populus","Prosopis","Pteridium","Quercus","Rosaceae","Salix","Sarcobatus","Saxifraga","Sphagnum","Taxodium","Tilia","Total Fraxinus (sum of nigra/penn/undiff)","Total Lycopodium","Tsuga heterophylla","Tsuga mertensiana","Tsuga undifferentiated","Ulmus"
"1","15/1",55.091667,-75.25,-5.21750008176185,-4.57444451685167,0,0,0,7,114,0,0,9,0,43,0,0,0,0,0,0,0,1,0,0,1,5,0,0,4,0,0,0,0,0,1,0,0,0,1,0,1,0,0,398,1,0,15,0,0,5,0,0,0,0,1,1,0,0,0,61,0,0,0,2,0,0,0,2
"2","15/2",55.833333,-75.016667,-5.39527783958863,-4.7411111879059,0,1,0,8,47,0,0,4,0,45,0,0,0,0,0,0,0,2,0,0,1,9,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,432.5,2,0,5,0,0,5,0,1,0,0,3,0,0,0,0,54,0,0,0,4,0,0,0,1
"3","16/1",55.413333,-75.066667,-5.21750008176185,-4.57444451685167,0,0,0,3,44,0,0,11,0,54,0,0,0,0,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0,0,4,0,0,0,1,0,0,0,0,421.5,2,0,6,0,0,4,0,0,0,0,0,0,4,0,0,59,0,0,0,2,0,0,0,0
"4","17/1",55.066667,-75.7,-5.12055559414957,-4.4738889740987,0,0,0,0,75,0,0,3,0,54,0,0,0,0,0,0,0,1,0,0,2,9,0,0,6,0,0,0,0,0,4,0,0,0,1,0,0,0,0,367,3,3,6,0,0,2,0,0,0,0,0,0,1,0,0,42,0,0,0,1,0,0,0,0
"5","17/2",55.25,-74.933333,-5.4041667457877,-4.76583341026886,0,0,0,7,184,0,0,5,0,124,0,0,0,0,0,0,0,1,0,0,1,1,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,340,8,0,5,0,0,1,0,0,0,0,0,1,2,0,0,26,0,0,0,2,0,0,0,1
"6","17/3",55.116667,-75.95,-5.12055559414957,-4.4738889740987,1,0,0,0,74,0,0,7,0,76,0,0,0,0,0,0,0,2,0,0,3,6,0,0,4,0,0,0,0,0,1,0,0,0,1,0,1,0,0,384,1,0,6,0,0,7,0,0,0,0,2,0,1,0,0,31,0,0,0,0,0,0,0,0
"7","South Soefje Bog",29.6,-97.516944,20.2116669853528,20.6808336562581,0,0,0,0,2,0,0,0,6,0,0,0,14,0,0,0,0,2,0,0,0,2,0,0,8,0,0,0,0,1,0,0,0,4,8,0,0,0,0,0,0,0,8,0,0,90,0,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,4
"8","Linton",43.15,-91.28,7.98555570360688,8.72444459938755,0,4,0,0,0,0,0,0,1,1,0,0,25,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,4,0,0,0,0,0,20,0,0,87,0,0,0,0,44,0,0,0,0,0,0,1,0,0,0,0,0,1
"9","Cox Creek",42.8,-91.38,8.23555569750154,8.96888906545938,0,3,0,0,0,0,0,0,4,5,0,0,5,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,18,0,0,109,0,0,0,0,48,2,10,0,0,0,0,0,1,0,0,0,0,12
"10","Elk",42.55,-91.28,8.23555569750154,8.96888906545938,0,7,0,0,0,0,0,0,3,1,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,103,0,0,0,0,47,0,0,0,0,0,0,3,1,0,0,0,0,3
"11","Concord",42.58,-90.95,8.05027791185098,8.74166680433684,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,140,0,0,0,0,52,0,0,0,0,0,0,1,0,0,0,0,0,13
"12","Wardsg28",42.3,-89.93,8.24083344661114,8.86388902962208,0,1,0,0,0,0,0,0,1,5,0,0,31,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,152,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,1
"13","Woodbn25",42.3,-90.12,8.65500014840315,9.2591668440443,0,7,0,0,0,0,0,0,5,5,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,7,2,0,156,0,0,0,0,62,0,0,0,0,0,0,0,4,0,0,0,0,7
"14","Hanover",42.27,-90.28,8.65500014840315,9.2591668440443,2,6,0,0,0,0,0,0,18,0,0,0,3,0,0,0,0,11,0,2,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,38,0,0,88,0,0,0,0,37,0,2,0,0,0,0,0,0,0,0,0,0,2
"15","Derinda",42.27,-90.08,8.65500014840315,9.2591668440443,0,2,0,0,0,0,0,0,4,0,0,0,14,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,105,0,2,0,0,83,0,1,0,0,0,0,1,0,0,0,0,0,4
"16","Woodbn24",42.32,-90.1,8.65500014840315,9.2591668440443,0,9,0,0,1,0,0,2,1,6,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,1,0,0,15,0,0,60,0,0,0,0,94,0,2,0,0,0,0,0,0,0,0,0,0,9
"17","Wardsg17",42.32,-89.93,8.24083344661114,8.86388902962208,0,4,0,0,0,0,0,0,7,2,0,0,7,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,21,0,0,0,0,154,0,3,0,0,0,0,0,0,0,0,0,0,4
"18","Woodbn07",42.33,-90.12,8.65500014840315,9.2591668440443,0,4,0,0,0,0,0,0,2,1,0,0,10,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,24,0,0,0,0,116,0,0,0,0,0,0,0,1,0,0,0,0,3
"19","Blanch Road",42.77,-89.87,7.49166684548061,8.15805570131375,0,0,0,0,0,0,0,0,3,1,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,87,0,0,0,0,80,0,1,0,0,0,0,0,0,0,0,0,0,4
"20","Coon",43.65,-90.92,6.7869445702682,7.67444460758319,0,0,0,0,0,0,0,0,6,0,0,0,12,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,77,0,0,0,0,49,1,1,0,0,0,0,0,2,0,0,0,0,15
"21","Liberty",43.52,-90.78,6.7869445702682,7.67444460758319,0,3,0,0,0,0,0,0,6,3,0,0,14,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,145,0,0,0,0,47,0,0,0,0,0,0,1,0,0,0,0,0,4
"22","Clinton",43.68,-90.73,6.7869445702682,7.67444460758319,0,5,0,0,0,0,0,0,5,9,0,0,11,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,8,0,0,63,0,0,0,0,79,1,0,0,0,0,0,4,1,0,0,0,0,16
"23","Green WD",43.58,-90.38,6.67083348391785,7.57888902839688,0,8,0,0,0,0,0,0,7,8,0,0,27,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,14,0,0,70,0,0,0,0,113,0,3,0,0,0,0,0,2,0,0,0,0,25
"24","English River",43.4,-90.5,7.23027791527825,7.99500013215261,0,0,0,0,0,0,0,0,3,0,0,0,40,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,69,0,0,0,0,85,0,1,0,0,0,0,0,3,0,0,0,0,28
"25","Dickey Valley",42.62,-90.58,8.05027791185098,8.74166680433684,0,0,0,0,0,0,0,0,15,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,75,0,0,0,0,126,0,0,0,0,0,0,1,1,0,0,0,0,11
"26","Tennyson",42.65,-90.67,8.05027791185098,8.74166680433684,0,0,0,0,0,0,0,5,3,0,0,0,10,0,0,0,0,8,0,1,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,32,10,0,69,0,4,0,0,29,0,0,0,0,0,0,1,0,0,0,0,0,3
"27","Platte Valley",42.72,-90.47,7.69638900678191,8.35416680903485,0,2,0,0,0,0,0,0,9,3,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,24,3,0,184,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Hokah",43.75,-91.47,7.49194458598892,8.28833348001871,0,3,0,0,0,0,0,0,6,4,0,0,8,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,21,0,0,195,0,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,3
"29","Sheldon",43.67,-91.05,7.49194458598892,8.28833348001871,0,9,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,24,10,0,398,0,0,0,0,57,2,0,0,0,0,0,6,1,0,0,0,0,4
"30","Hollndal",42.88,-89.88,7.49166684548061,8.15805570131375,0,1,0,0,0,0,0,0,8,4,0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,14,0,0,39,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,17
"31","Harrison",42.7,-90.55,8.05027791185098,8.74166680433684,0,1,0,0,0,0,0,0,3,1,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,90,0,2,0,0,48,0,1,0,0,0,0,3,1,0,0,0,0,10
"32","Arena8",43.1,-89.92,7.01250016594099,7.72444455191079,0,1,0,0,1,0,0,0,3,6,0,0,12,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,1,0,0,5,0,0,34,0,0,0,0,110,0,0,0,0,0,0,0,2,0,0,0,0,11
"33","Arena16",43.08,-89.92,7.01250016594099,7.72444455191079,0,4,0,0,1,0,0,0,21,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,96,0,0,0,0,57,0,0,0,0,0,0,1,0,0,0,0,0,6
