site.name,lat,long,51.8,86.15,Abies,Acer,Alnus rugosa,AlnusXC,Aquifoliaceae,Arceuthobium,Artemisia,Asteraceae,Betula,Brassicaceae,Carya,Caryophyllaceae,Castanea,Celtis,Cephalanthus,Chenopodiaceae/Amaranthaceae,Chrysolepis/Lithocarpus,Corylus,Cupressaceae,Cyperaceae,Dryas,Ephedra,Ericaceae,Fagus,Juglans,Larix/Pseudotsuga,Liquidambar,Minor Forbs,Myricaceae,Nyssa,Ostrya/Carpinus,Oxyria,Papaveraceae,Picea,Pinus diploxylon,Pinus haploxylon,Pinus undifferentiated,Plantaginaceae,Platanus,Poaceae,Populus,Prosopis,Pteridium,Quercus,Rosaceae,Salix,Sarcobatus,Sphagnum,Taxodium,Tilia,Total Fraxinus (sum of nigra/penn/undiff),Total Lycopodium,Tsuga undifferentiated,Ulmus
15/1,55.091667,-75.25,-5.217500082,-4.574444517,0,0,1.040118871,16.93907875,0,0,1.337295691,0,6.389301634,0,0,0,0,0,0,0.14858841,0,0,0.14858841,0.742942051,0,0,0.59435364,0,0,0.14858841,0,0,0.14858841,0,0.14858841,0,0,59.13818722,0.14858841,0,2.228826152,0,0,0.742942051,0,0,0,0.14858841,0.14858841,0,0,9.063893016,0,0,0,0.29717682,0,0.29717682
15/2,55.833333,-75.016667,-5.39527784,-4.741111188,0,0.158353127,1.26682502,7.442596991,0,0,0.63341251,0,7.125890736,0,0,0,0,0,0,0.316706255,0,0,0.158353127,1.425178147,0,0,0.63341251,0,0,0.475059382,0,0,0,0,0,0,0,68.48772763,0.316706255,0,0.791765637,0,0,0.791765637,0.158353127,0,0,0.475059382,0,0,0,8.551068884,0,0,0,0.63341251,0,0.158353127
16/1,55.413333,-75.066667,-5.217500082,-4.574444517,0,0,0.481927711,7.068273092,0,0,1.767068273,0,8.674698795,0,0,0,0,0,0,0.321285141,0,0,0,0.16064257,0,0,0.642570281,0,0,0.642570281,0,0,0.16064257,0,0,0,0,67.71084337,0.321285141,0,0.963855422,0,0,0.642570281,0,0,0,0,0,0.642570281,0,9.477911647,0,0,0,0.321285141,0,0
17/1,55.066667,-75.7,-5.120555594,-4.473888974,0,0,0,12.93103448,0,0,0.517241379,0,9.310344828,0,0,0,0,0,0,0.172413793,0,0,0.344827586,1.551724138,0,0,1.034482759,0,0,0.689655172,0,0,0.172413793,0,0,0,0,63.27586207,0.517241379,0.517241379,1.034482759,0,0,0.344827586,0,0,0,0,0,0.172413793,0,7.24137931,0,0,0,0.172413793,0,0
17/2,55.25,-74.933333,-5.404166746,-4.76583341,0,0,0.972222222,25.55555556,0,0,0.694444444,0,17.22222222,0,0,0,0,0,0,0.138888889,0,0,0.138888889,0.138888889,0,0,0.694444444,0,0,0.416666667,0,0,0.416666667,0,0,0,0,47.22222222,1.111111111,0,0.694444444,0,0,0.138888889,0,0,0,0,0.138888889,0.277777778,0,3.611111111,0,0,0,0.277777778,0,0.138888889
17/3,55.116667,-75.95,-5.120555594,-4.473888974,0.164473684,0,0,12.17105263,0,0,1.151315789,0,12.5,0,0,0,0,0,0,0.328947368,0,0,0.493421053,0.986842105,0,0,0.657894737,0,0,0.164473684,0,0,0.164473684,0,0.164473684,0,0,63.15789474,0.164473684,0,0.986842105,0,0,1.151315789,0,0,0,0.328947368,0,0.164473684,0,5.098684211,0,0,0,0,0,0
South Soefje Bog,29.6,-97.516944,20.21166699,20.68083366,0,0,0,1.149425287,0,0,0,3.448275862,0,0,8.045977011,0,0,0,0,1.149425287,0,0,0,1.149425287,0,0,4.597701149,0,0.574712644,0,0,2.298850575,4.597701149,0,0,0,0,0,0,0,4.597701149,0,0,51.72413793,0,0,0,13.79310345,0,0.574712644,0,0,0,0,0,0,0,2.298850575
Linton,43.15,-91.28,7.985555704,8.724444599,0,1.843317972,0,0,0,0,0,0.460829493,0.460829493,0,11.52073733,0,0,0.460829493,0,4.608294931,0,0,0,0,0,0,0,0,8.294930876,0,0,0,0,0,1.843317972,0,0,0,0,0,9.216589862,0,0,40.0921659,0,0,0,20.2764977,0,0,0,0,0,0.460829493,0,0,0,0.460829493
Cox Creek,42.8,-91.38,8.235555698,8.968889065,0,1.265822785,0,0,0,0,0,1.687763713,2.109704641,0,2.109704641,0,0,0,0,5.485232068,0,0,0,0,0,0.421940928,0,0,1.265822785,0,0,0,0,0,1.265822785,0,0,0,0,0,7.594936709,0,0,45.99156118,0,0,0,20.25316456,0.843881857,4.219409283,0,0,0,0,0.421940928,0,0,5.063291139
Elk,42.55,-91.28,8.235555698,8.968889065,0,3.608247423,0,0,0,0,0,1.546391753,0.515463918,0,2.06185567,0,0,0,0,4.639175258,0,0,0,0,0,0,0,0,2.06185567,0,0,0,0,0,0,0,0,0,0,0,4.639175258,0,0,53.09278351,0,0,0,24.22680412,0,0,0,0,0,1.546391753,0.515463918,0,0,1.546391753
Concord,42.58,-90.95,8.050277912,8.741666804,0,1.255230126,0,0,0,0,0,1.255230126,0,0,1.255230126,0,0,0,0,2.092050209,0,0,0,0,0,0,0,0,2.928870293,0,0,0,0,0,2.092050209,0,0,0,0,0,2.928870293,0,0,58.57740586,0,0,0,21.75732218,0,0,0,0,0,0.418410042,0,0,0,5.439330544
